protein	frequency
NP_001137358.1	211
NP_001137359.1	28
NP_001137360.1	142
NP_001137361.1	118
NP_001137362.1	106
NP_001137377.1	78
NP_001137378.1	208
NP_001137381.1	77
NP_001137384.1	57
NP_001137385.1	53
NP_001137386.1	52
NP_001137387.1	44
NP_001137389.1	41
NP_001137391.1	108
NP_001137407.1	267
NP_001137408.1	25
NP_001137410.1	220
NP_001137411.1	223
NP_001137412.1	94
NP_001137413.1	47
NP_001137414.1	49
NP_001137415.1	40
NP_001137416.1	47
NP_001137419.1	171
NP_001137420.1	84
NP_001137429.1	146
NP_001137430.1	89
NP_001137431.1	39
NP_001137434.1	95
NP_001137435.1	233
NP_001137436.1	113
NP_001137437.1	113
NP_001137438.1	107
NP_001137440.1	24
NP_001137442.1	95
NP_001137443.1	95
NP_001137445.1	127
NP_001137446.1	76
NP_001137447.1	15
NP_001137448.1	86
NP_001137450.1	81
NP_001137451.1	163
NP_001137452.1	110
NP_001137453.1	86
NP_001137454.1	86
NP_001137455.2	72
NP_001137456.1	49
NP_001137457.1	15
NP_001137458.1	228
NP_001137459.1	10
NP_001137460.1	10
NP_001137461.1	9
NP_001137462.1	213
NP_001137463.1	213
NP_001137464.1	213
NP_001137465.1	144
NP_001137466.1	136
NP_001137467.1	131
NP_001137468.1	405
NP_001137469.1	343
NP_001137470.1	192
NP_001137471.1	192
NP_001137472.1	33
NP_001137473.1	189
NP_001137474.1	67
NP_001137475.1	131
NP_001137476.1	131
NP_001137477.1	131
NP_001137478.1	131
NP_001137480.1	131
NP_001137481.1	131
NP_001137482.1	131
NP_001137484.1	87
NP_001137485.1	153
NP_001137498.1	272
NP_001137499.1	240
NP_001137500.1	266
NP_001137502.1	324
NP_001137505.1	125
NP_001137506.1	136
NP_001137507.1	136
NP_001137508.1	80
NP_001137509.1	141
NP_001137510.1	124
NP_001137530.1	103
NP_001137531.1	85
NP_001137532.1	217
NP_001137533.1	217
NP_001137534.1	217
NP_001137535.1	330
NP_001137540.1	135
NP_001137542.1	237
NP_001137543.1	122
NP_001137544.1	88
NP_001137545.1	95
NP_001137546.1	187
NP_001137854.1	200
NP_001138.1	196
NP_001138135.1	308
NP_001138227.1	146
NP_001138228.1	184
NP_001138230.1	520
NP_001138231.1	494
NP_001138233.1	245
NP_001138234.1	213
NP_001138238.1	79
NP_001138239.1	209
NP_001138241.1	1509
NP_001138242.1	1467
NP_001138244.1	275
NP_001138246.1	58
NP_001138247.2	66
NP_001138248.1	59
NP_001138249.1	59
NP_001138294.1	64
NP_001138295.1	392
NP_001138296.1	254
NP_001138297.1	63
NP_001138298.1	57
NP_001138299.1	153
NP_001138301.1	184
NP_001138302.1	116
NP_001138303.1	68
NP_001138304.1	134
NP_001138328.1	325
NP_001138329.1	300
NP_001138343.1	28
NP_001138346.1	12
NP_001138347.1	107
NP_001138348.1	68
NP_001138349.1	102
NP_001138350.1	98
NP_001138351.1	55
NP_001138353.1	235
NP_001138354.1	235
NP_001138355.1	235
NP_001138356.1	124
NP_001138357.1	42
NP_001138358.1	37
NP_001138359.1	37
NP_001138360.1	158
NP_001138361.1	155
NP_001138362.1	158
NP_001138363.1	130
NP_001138364.1	58
NP_001138365.1	123
NP_001138366.1	145
NP_001138367.1	138
NP_001138368.1	154
NP_001138369.1	158
NP_001138372.1	91
NP_001138375.1	105
NP_001138377.1	120
NP_001138378.1	103
NP_001138379.1	106
NP_001138380.1	67
NP_001138381.1	126
NP_001138382.1	120
NP_001138383.1	73
NP_001138384.1	186
NP_001138385.1	177
NP_001138386.1	178
NP_001138387.1	149
NP_001138388.1	158
NP_001138389.1	175
NP_001138390.1	158
NP_001138391.1	148
NP_001138392.1	133
NP_001138395.1	147
NP_001138397.1	275
NP_001138399.1	63
NP_001138400.1	38
NP_001138401.1	33
NP_001138404.1	44
NP_001138405.1	128
NP_001138406.1	58
NP_001138407.1	58
NP_001138408.1	26
NP_001138409.1	229
NP_001138411.1	48
NP_001138412.1	40
NP_001138413.1	27
NP_001138414.1	81
NP_001138416.1	32
NP_001138417.1	32
NP_001138422.1	232
NP_001138423.1	109
NP_001138424.1	696
NP_001138426.1	24
NP_001138427.1	108
NP_001138428.1	9
NP_001138430.1	198
NP_001138432.1	90
NP_001138433.1	81
NP_001138434.1	80
NP_001138435.1	72
NP_001138436.1	144
NP_001138437.1	144
NP_001138438.1	144
NP_001138439.1	169
NP_001138440.1	164
NP_001138441.1	155
NP_001138442.1	135
NP_001138443.1	135
NP_001138444.1	44
NP_001138450.1	109
NP_001138453.1	29
NP_001138454.1	18
NP_001138455.1	18
NP_001138456.1	18
NP_001138457.1	18
NP_001138458.1	18
NP_001138461.1	283
NP_001138462.1	137
NP_001138466.1	10
NP_001138467.1	34
NP_001138468.1	461
NP_001138469.1	419
NP_001138471.1	300
NP_001138472.1	320
NP_001138473.1	85
NP_001138476.2	20
NP_001138478.1	156
NP_001138479.1	156
NP_001138480.1	137
NP_001138481.1	91
NP_001138482.1	39
NP_001138483.1	201
NP_001138486.1	7
NP_001138489.1	198
NP_001138490.1	69
NP_001138492.1	10
NP_001138495.1	159
NP_001138496.1	33
NP_001138497.1	179
NP_001138500.1	81
NP_001138501.1	296
NP_001138502.1	190
NP_001138503.1	139
NP_001138505.1	6
NP_001138508.1	240
NP_001138516.1	162
NP_001138517.1	99
NP_001138519.1	97
NP_001138520.1	82
NP_001138521.1	80
NP_001138523.1	54
NP_001138525.1	256
NP_001138527.1	54
NP_001138528.1	229
NP_001138529.1	85
NP_001138531.1	25
NP_001138537.1	248
NP_001138545.1	15
NP_001138548.1	328
NP_001138549.1	23
NP_001138550.1	133
NP_001138551.1	232
NP_001138552.2	209
NP_001138554.1	216
NP_001138555.1	203
NP_001138560.1	341
NP_001138565.1	213
NP_001138567.1	69
NP_001138569.1	175
NP_001138570.1	176
NP_001138571.1	169
NP_001138573.1	73
NP_001138574.1	48
NP_001138575.1	52
NP_001138576.1	31
NP_001138578.1	193
NP_001138579.1	277
NP_001138580.1	271
NP_001138581.1	265
NP_001138582.1	275
NP_001138584.1	63
NP_001138585.2	73
NP_001138586.1	450
NP_001138587.1	47
NP_001138590.1	122
NP_001138593.1	51
NP_001138594.1	110
NP_001138595.1	39
NP_001138596.1	200
NP_001138597.1	91
NP_001138599.1	90
NP_001138600.2	411
NP_001138604.1	29
NP_001138606.1	319
NP_001138607.1	327
NP_001138609.1	327
NP_001138610.1	109
NP_001138615.1	132
NP_001138616.1	125
NP_001138617.1	133
NP_001138618.1	115
NP_001138619.1	100
NP_001138620.1	109
NP_001138621.1	57
NP_001138624.1	136
NP_001138625.1	90
NP_001138626.1	109
NP_001138627.1	30
NP_001138628.1	29
NP_001138629.1	29
NP_001138630.1	201
NP_001138631.1	190
NP_001138632.1	71
NP_001138633.1	6
NP_001138637.1	91
NP_001138640.1	361
NP_001138641.1	350
NP_001138648.1	17
NP_001138663.1	92
NP_001138666.1	4
NP_001138667.1	267
NP_001138668.1	173
NP_001138669.1	4
NP_001138673.1	54
NP_001138676.2	45
NP_001138677.2	24
NP_001138678.1	40
NP_001138679.1	122
NP_001138680.1	160
NP_001138682.1	49
NP_001138683.1	242
NP_001138684.1	194
NP_001138696.1	14
NP_001138720.1	14
NP_001138721.1	9
NP_001138722.1	28
NP_001138724.1	63
NP_001138727.1	18
NP_001138728.1	122
NP_001138729.1	122
NP_001138730.1	122
NP_001138732.1	201
NP_001138733.1	199
NP_001138734.1	198
NP_001138735.1	198
NP_001138736.1	18
NP_001138737.1	108
NP_001138738.1	108
NP_001138740.1	18
NP_001138741.1	16
NP_001138743.1	151
NP_001138744.1	151
NP_001138747.1	35
NP_001138748.1	25
NP_001138749.1	94
NP_001138750.1	82
NP_001138751.1	214
NP_001138752.1	132
NP_001138753.1	136
NP_001138754.1	186
NP_001138755.1	185
NP_001138756.1	188
NP_001138757.1	184
NP_001138758.1	189
NP_001138759.1	132
NP_001138760.1	180
NP_001138762.1	198
NP_001138763.1	405
NP_001138764.1	255
NP_001138765.1	222
NP_001138766.1	232
NP_001138767.1	208
NP_001138769.1	205
NP_001138770.1	191
NP_001138771.1	200
NP_001138773.1	88
NP_001138774.1	72
NP_001138775.2	237
NP_001138776.1	635
NP_001138777.1	570
NP_001138778.1	45
NP_001138780.1	50
NP_001138781.1	50
NP_001138782.1	39
NP_001138783.1	188
NP_001138784.1	68
NP_001138785.1	35
NP_001138786.1	128
NP_001138787.1	100
NP_001138788.1	100
NP_001138789.1	71
NP_001138790.1	95
NP_001138791.1	183
NP_001138792.1	99
NP_001138807.1	101
NP_001138810.1	179
NP_001138811.1	87
NP_001138815.1	123
NP_001138816.1	123
NP_001138817.1	123
NP_001138818.1	262
NP_001138819.1	55
NP_001138820.1	179
NP_001138821.1	189
NP_001138822.1	27
NP_001138825.1	190
NP_001138826.1	122
NP_001138827.1	22
NP_001138828.1	22
NP_001138829.1	233
NP_001138830.1	233
NP_001138836.1	107
NP_001138837.1	161
NP_001138840.1	308
NP_001138841.1	273
NP_001138842.1	259
NP_001138843.1	227
NP_001138845.1	41
NP_001138846.1	113
NP_001138847.1	113
NP_001138863.1	115
NP_001138864.1	203
NP_001138865.1	198
NP_001138866.1	167
NP_001138868.1	361
NP_001138870.1	45
NP_001138871.1	54
NP_001138872.1	330
NP_001138874.1	169
NP_001138876.1	140
NP_001138880.1	30
NP_001138881.1	30
NP_001138882.1	23
NP_001138883.1	276
NP_001138884.1	173
NP_001138885.1	170
NP_001138886.1	21
NP_001138887.1	266
NP_001138888.1	66
NP_001138889.1	122
NP_001138890.1	271
NP_001138898.1	126
NP_001138899.1	163
NP_001138904.1	5
NP_001138906.1	180
NP_001138908.1	266
NP_001138909.1	240
NP_001138910.1	99
NP_001138912.2	231
NP_001138914.1	11
NP_001138916.1	328
NP_001138917.1	327
NP_001138918.1	186
NP_001138919.1	186
NP_001138920.1	186
NP_001138922.1	9
NP_001138923.2	83
NP_001138925.1	144
NP_001138926.1	24
NP_001138929.2	125
NP_001138930.2	120
NP_001138931.1	29
NP_001138932.1	27
NP_001138934.1	86
NP_001138935.1	84
NP_001138936.1	126
NP_001138937.1	25
NP_001138938.1	72
NP_001138939.1	71
NP_001138944.1	198
NP_001138945.1	99
NP_001138946.1	31
NP_001138947.1	280
NP_001138983.1	81
NP_001138984.1	88
NP_001138985.1	147
NP_001138986.1	148
NP_001138987.1	120
NP_001138992.1	269
NP_001138993.1	269
NP_001138994.1	263
NP_001138995.1	269
NP_001138996.1	25
NP_001138997.1	269
NP_001138998.1	115
NP_001138999.1	300
NP_001139.3	1150
NP_001139003.1	24
NP_001139008.1	34
NP_001139013.1	150
NP_001139014.1	205
NP_001139015.1	191
NP_001139016.1	157
NP_001139017.1	70
NP_001139018.1	20
NP_001139019.1	54
NP_001139020.1	127
NP_001139021.1	147
NP_001139107.1	215
NP_001139108.1	53
NP_001139110.2	252
NP_001139111.1	94
NP_001139112.1	8
NP_001139113.1	148
NP_001139114.1	299
NP_001139115.1	13
NP_001139117.1	45
NP_001139118.1	90
NP_001139121.1	152
NP_001139124.1	46
NP_001139129.1	177
NP_001139130.1	190
NP_001139131.1	23
NP_001139133.1	118
NP_001139134.1	117
NP_001139136.1	63
NP_001139137.1	170
NP_001139138.1	319
NP_001139139.1	312
NP_001139140.1	8
NP_001139142.1	206
NP_001139143.1	229
NP_001139144.1	218
NP_001139145.1	249
NP_001139146.1	354
NP_001139150.1	219
NP_001139184.1	10
NP_001139185.1	89
NP_001139186.1	80
NP_001139188.1	178
NP_001139189.2	190
NP_001139190.1	159
NP_001139191.1	146
NP_001139192.1	49
NP_001139193.1	104
NP_001139194.1	104
NP_001139196.1	96
NP_001139197.1	140
NP_001139199.1	100
NP_001139200.1	125
NP_001139201.1	111
NP_001139206.2	173
NP_001139242.1	272
NP_001139243.1	275
NP_001139244.1	272
NP_001139245.1	274
NP_001139246.1	272
NP_001139247.1	122
NP_001139248.1	122
NP_001139249.1	73
NP_001139257.1	92
NP_001139266.1	138
NP_001139267.1	266
NP_001139268.1	252
NP_001139269.1	259
NP_001139277.1	22
NP_001139280.1	369
NP_001139281.1	659
NP_001139283.1	208
NP_001139284.1	252
NP_001139287.1	241
NP_001139288.1	51
NP_001139291.1	223
NP_001139301.1	68
NP_001139310.1	100
NP_001139313.1	69
NP_001139317.1	491
NP_001139319.1	322
NP_001139320.1	322
NP_001139321.1	312
NP_001139322.1	311
NP_001139323.1	312
NP_001139324.1	311
NP_001139325.1	626
NP_001139327.1	239
NP_001139328.1	233
NP_001139332.1	360
NP_001139333.1	360
NP_001139334.1	249
NP_001139345.1	71
NP_001139373.1	189
NP_001139375.1	203
NP_001139381.1	435
NP_001139395.1	262
NP_001139400.1	254
NP_001139406.1	162
NP_001139411.1	78
NP_001139412.1	78
NP_001139416.1	213
NP_001139417.1	215
NP_001139418.1	244
NP_001139433.1	397
NP_001139434.1	395
NP_001139435.1	387
NP_001139436.1	381
NP_001139438.1	1175
NP_001139443.1	171
NP_001139447.1	236
NP_001139470.1	237
NP_001139475.1	228
NP_001139478.1	330
NP_001139480.1	221
NP_001139481.1	285
NP_001139487.1	270
NP_001139488.1	208
NP_001139489.1	208
NP_001139490.1	208
NP_001139491.1	208
NP_001139492.1	208
NP_001139500.1	123
NP_001139501.1	193
NP_001139502.1	156
NP_001139504.1	144
NP_001139505.1	122
NP_001139508.2	143
NP_001139509.1	153
NP_001139511.1	101
NP_001139512.1	128
NP_001139513.1	82
NP_001139523.1	130
NP_001139526.1	30
NP_001139527.1	30
NP_001139528.1	177
NP_001139540.1	249
NP_001139541.1	232
NP_001139542.1	208
NP_001139543.1	194
NP_001139547.1	202
NP_001139548.1	159
NP_001139549.1	109
NP_001139550.1	109
NP_001139551.1	109
NP_001139554.1	106
NP_001139555.1	177
NP_001139566.1	234
NP_001139567.1	234
NP_001139568.1	234
NP_001139571.1	169
NP_001139574.1	257
NP_001139575.1	241
NP_001139576.1	241
NP_001139577.1	241
NP_001139580.1	114
NP_001139581.1	109
NP_001139582.1	133
NP_001139583.1	103
NP_001139584.1	125
NP_001139585.1	81
NP_001139587.1	233
NP_001139588.1	464
NP_001139623.1	78
NP_001139624.1	114
NP_001139626.1	105
NP_001139627.1	105
NP_001139628.1	70
NP_001139629.1	16
NP_001139630.1	304
NP_001139632.1	91
NP_001139634.1	54
NP_001139641.1	74
NP_001139642.1	78
NP_001139643.1	88
NP_001139644.1	68
NP_001139645.1	37
NP_001139647.1	97
NP_001139650.1	26
NP_001139651.1	26
NP_001139653.1	147
NP_001139654.1	85
NP_001139656.1	667
NP_001139657.1	606
NP_001139658.1	667
NP_001139659.1	607
NP_001139660.1	171
NP_001139661.1	590
NP_001139662.1	570
NP_001139663.1	30
NP_001139664.1	70
NP_001139674.1	191
NP_001139675.1	166
NP_001139676.1	173
NP_001139677.1	195
NP_001139678.1	154
NP_001139679.1	186
NP_001139681.1	152
NP_001139685.2	184
NP_001139686.1	180
NP_001139688.1	212
NP_001139690.1	38
NP_001139692.1	44
NP_001139693.1	42
NP_001139697.1	229
NP_001139698.1	214
NP_001139699.1	19
NP_001139726.1	194
NP_001139727.1	155
NP_001139728.1	52
NP_001139729.1	29
NP_001139730.1	126
NP_001139731.1	122
NP_001139732.1	103
NP_001139734.1	122
NP_001139737.1	72
NP_001139738.1	72
NP_001139739.1	72
NP_001139745.1	53
NP_001139746.1	151
NP_001139748.1	145
NP_001139749.1	66
NP_001139750.1	66
NP_001139751.1	133
NP_001139752.1	110
NP_001139753.1	110
NP_001139754.1	50
NP_001139755.1	85
NP_001139756.1	68
NP_001139758.1	64
NP_001139760.1	213
NP_001139761.1	252
NP_001139763.1	105
NP_001139784.1	338
NP_001139786.1	72
NP_001139788.1	120
NP_001139791.1	124
NP_001139792.1	89
NP_001139793.1	123
NP_001139794.1	120
NP_001139798.1	211
NP_001139799.1	211
NP_001139805.1	98
NP_001139806.1	158
NP_001139807.1	161
NP_001139808.1	24
NP_001139809.1	293
NP_001139811.1	38
NP_001139812.1	41
NP_001139813.1	41
NP_001139815.1	50
NP_001139817.1	118
NP_001140.2	265
NP_001140062.1	126
NP_001140099.1	106
NP_001140155.1	32
NP_001140156.1	36
NP_001140157.1	20
NP_001140158.1	47
NP_001140160.1	367
NP_001140167.1	349
NP_001140168.1	355
NP_001140170.1	393
NP_001140171.1	393
NP_001140174.1	138
NP_001140177.1	132
NP_001140178.1	126
NP_001140198.1	160
NP_001141.2	363
NP_001142.2	50
NP_001143.2	26
NP_001144.1	110
NP_001145.1	99
NP_001146.2	254
NP_001146918.1	26
NP_001146956.1	32
NP_001147.1	184
NP_001147024.1	24
NP_001147057.1	26
NP_001147107.1	26
NP_001147135.1	32
NP_001147162.1	18
NP_001147930.1	162
NP_001148.1	228
NP_001149.2	369
NP_001149946.1	227
NP_001150.3	484
NP_001151.1	337
NP_001151733.1	92
NP_001152.1	37
NP_001152751.1	192
NP_001152752.1	84
NP_001152757.1	173
NP_001152758.1	277
NP_001152759.1	94
NP_001152763.1	465
NP_001152765.1	263
NP_001152767.1	165
NP_001152768.1	69
NP_001152794.1	227
NP_001152795.1	216
NP_001152824.1	57
NP_001152825.1	34
NP_001152849.1	196
NP_001152850.1	194
NP_001152859.1	201
NP_001152860.1	195
NP_001152862.1	86
NP_001152863.1	84
NP_001152869.1	141
NP_001152870.1	156
NP_001152956.1	469
NP_001152960.1	174
NP_001152967.1	31
NP_001152980.1	128
NP_001152994.1	119
NP_001152996.1	155
NP_001153003.1	179
NP_001153014.1	138
NP_001153017.1	93
NP_001153018.1	93
NP_001153019.1	88
NP_001153026.1	144
NP_001153032.1	24
NP_001153047.1	295
NP_001153048.1	313
NP_001153059.1	516
NP_001153060.1	493
NP_001153068.1	73
NP_001153069.1	101
NP_001153073.1	53
NP_001153101.1	223
NP_001153114.1	94
NP_001153115.1	411
NP_001153116.1	127
NP_001153123.1	26
NP_001153145.1	53
NP_001153146.1	68
NP_001153147.1	90
NP_001153148.1	69
NP_001153149.1	69
NP_001153166.1	98
NP_001153171.1	50
NP_001153172.1	48
NP_001153173.1	52
NP_001153174.1	53
NP_001153175.1	39
NP_001153176.1	48
NP_001153179.1	137
NP_001153180.1	158
NP_001153181.1	134
NP_001153182.1	105
NP_001153198.1	56
NP_001153199.1	147
NP_001153208.1	201
NP_001153212.1	36
NP_001153218.1	143
NP_001153219.1	120
NP_001153221.1	165
NP_001153239.1	87
NP_001153242.1	133
NP_001153244.1	182
NP_001153245.1	182
NP_001153318.1	122
NP_001153332.1	112
NP_001153333.1	112
NP_001153350.1	122
NP_001153392.1	206
NP_001153399.1	150
NP_001153401.1	166
NP_001153408.1	120
NP_001153416.1	114
NP_001153441.1	168
NP_001153467.1	211
NP_001153471.1	218
NP_001153473.1	208
NP_001153477.1	53
NP_001153480.1	137
NP_001153483.1	86
NP_001153502.1	217
NP_001153503.1	163
NP_001153508.1	220
NP_001153509.1	220
NP_001153514.1	233
NP_001153517.1	348
NP_001153518.1	413
NP_001153519.1	298
NP_001153566.1	40
NP_001153572.1	62
NP_001153574.1	248
NP_001153575.1	191
NP_001153576.1	190
NP_001153581.1	215
NP_001153582.1	217
NP_001153583.1	218
NP_001153587.1	73
NP_001153588.1	76
NP_001153596.1	49
NP_001153597.1	55
NP_001153602.1	160
NP_001153604.1	163
NP_001153605.1	163
NP_001153606.1	138
NP_001153610.1	294
NP_001153619.1	260
NP_001153620.1	262
NP_001153626.1	84
NP_001153632.1	634
NP_001153633.1	618
NP_001153638.1	26
NP_001153639.1	136
NP_001153640.1	89
NP_001153641.1	68
NP_001153642.1	133
NP_001153643.1	133
NP_001153644.1	133
NP_001153645.1	133
NP_001153646.1	133
NP_001153651.1	133
NP_001153655.1	36
NP_001153656.1	350
NP_001153682.1	242
NP_001153685.1	354
NP_001153695.1	64
NP_001153696.1	50
NP_001153697.1	36
NP_001153698.1	110
NP_001153699.1	865
NP_001153702.1	129
NP_001153705.1	90
NP_001153706.1	86
NP_001153715.1	88
NP_001153716.1	64
NP_001153718.1	38
NP_001153730.1	110
NP_001153731.1	110
NP_001153736.1	103
NP_001153738.1	56
NP_001153749.1	222
NP_001153772.1	120
NP_001153773.1	54
NP_001153774.1	311
NP_001153777.1	183
NP_001153778.1	388
NP_001153780.1	181
NP_001153797.1	69
NP_001153800.1	175
NP_001153801.1	175
NP_001153803.1	373
NP_001153804.1	369
NP_001153805.1	214
NP_001153826.1	41
NP_001153827.1	47
NP_001153836.1	194
NP_001153839.1	121
NP_001153844.1	401
NP_001153861.1	82
NP_001153862.1	82
NP_001153864.1	69
NP_001153865.1	83
NP_001153879.1	74
NP_001153880.1	192
NP_001153889.1	195
NP_001153890.1	166
NP_001153891.1	103
NP_001153895.1	76
NP_001154.2	266
NP_001154178.1	209
NP_001154180.1	248
NP_001154481.1	84
NP_001154482.1	67
NP_001154483.1	81
NP_001154484.1	57
NP_001154485.1	54
NP_001154802.1	237
NP_001154803.1	240
NP_001154806.1	20
NP_001154814.1	153
NP_001154816.1	196
NP_001154817.1	196
NP_001154818.1	194
NP_001154819.1	178
NP_001154824.1	182
NP_001154825.1	173
NP_001154826.1	244
NP_001154829.1	301
NP_001154830.1	299
NP_001154831.1	291
NP_001154835.1	77
NP_001154836.1	62
NP_001154840.1	125
NP_001154875.1	163
NP_001154876.1	162
NP_001154887.1	161
NP_001154888.1	152
NP_001154889.1	152
NP_001154897.1	181
NP_001154898.1	181
NP_001154899.1	165
NP_001154901.1	159
NP_001154914.1	117
NP_001154916.1	124
NP_001154924.1	69
NP_001154926.1	73
NP_001154937.1	209
NP_001154945.1	170
NP_001154948.1	217
NP_001154970.1	71
NP_001154971.1	316
NP_001154972.1	316
NP_001154973.1	288
NP_001154976.1	231
NP_001154992.1	315
NP_001154993.1	74
NP_001154994.1	62
NP_001154999.1	135
NP_001155.1	209
NP_001155000.1	97
NP_001155001.1	175
NP_001155002.1	176
NP_001155003.1	180
NP_001155004.1	127
NP_001155005.1	108
NP_001155018.1	99
NP_001155032.1	258
NP_001155033.1	253
NP_001155034.1	253
NP_001155035.1	246
NP_001155036.1	246
NP_001155037.1	241
NP_001155038.1	241
NP_001155044.1	21
NP_001155045.1	21
NP_001155046.1	13
NP_001155047.1	188
NP_001155048.2	172
NP_001155049.1	116
NP_001155052.1	126
NP_001155053.1	128
NP_001155056.1	218
NP_001155057.1	113
NP_001155058.1	178
NP_001155059.1	202
NP_001155088.2	324
NP_001155091.1	152
NP_001155097.1	51
NP_001155102.1	118
NP_001155128.1	182
NP_001155129.1	113
NP_001155130.1	182
NP_001155131.1	122
NP_001155132.1	134
NP_001155133.1	361
NP_001155134.1	361
NP_001155136.1	220
NP_001155155.1	236
NP_001155177.1	214
NP_001155178.1	37
NP_001155179.1	171
NP_001155180.1	103
NP_001155197.1	95
NP_001155198.1	84
NP_001155199.1	42
NP_001155200.1	42
NP_001155201.1	42
NP_001155220.1	81
NP_001155238.1	129
NP_001155244.1	208
NP_001155251.1	146
NP_001155252.1	146
NP_001155253.1	134
NP_001155284.1	60
NP_001155286.1	34
NP_001155291.1	289
NP_001155313.1	291
NP_001155855.1	216
NP_001155856.1	216
NP_001155879.1	156
NP_001155894.1	30
NP_001155898.1	283
NP_001155899.1	269
NP_001155901.1	218
NP_001155907.2	35
NP_001155955.1	14
NP_001155963.1	50
NP_001155967.2	77
NP_001155968.2	77
NP_001155969.1	119
NP_001155970.1	119
NP_001155971.1	454
NP_001155973.1	457
NP_001155977.1	65
NP_001156.1	162
NP_001156001.1	400
NP_001156002.1	229
NP_001156008.1	131
NP_001156365.1	13
NP_001156366.1	13
NP_001156367.1	13
NP_001156386.1	51
NP_001156388.1	84
NP_001156408.1	3
NP_001156423.1	346
NP_001156424.1	117
NP_001156425.1	348
NP_001156467.1	13
NP_001156469.1	10
NP_001156494.1	201
NP_001156495.1	200
NP_001156506.1	273
NP_001156547.1	51
NP_001156551.1	50
NP_001156592.1	53
NP_001156593.1	85
NP_001156594.1	72
NP_001156596.1	40
NP_001156597.1	33
NP_001156602.1	78
NP_001156619.1	141
NP_001156620.1	152
NP_001156621.1	152
NP_001156622.1	136
NP_001156623.1	136
NP_001156624.1	114
NP_001156685.1	289
NP_001156729.1	526
NP_001156730.1	166
NP_001156731.1	132
NP_001156732.1	111
NP_001156736.1	33
NP_001156737.1	35
NP_001156750.1	450
NP_001156751.1	450
NP_001156752.1	115
NP_001156757.1	161
NP_001156758.1	155
NP_001156759.1	76
NP_001156768.1	118
NP_001156769.1	118
NP_001156787.2	72
NP_001156793.2	166
NP_001156794.1	162
NP_001156795.1	158
NP_001156806.1	188
NP_001156807.1	187
NP_001156849.1	125
NP_001156852.1	40
NP_001156889.1	119
NP_001156890.1	97
NP_001156895.1	36
NP_001156907.1	285
NP_001156908.1	285
NP_001156909.1	272
NP_001156910.1	7
NP_001156918.1	171
NP_001156946.1	176
NP_001156956.1	175
NP_001156971.1	179
NP_001156980.1	202
NP_001156981.1	199
NP_001156995.1	224
NP_001156996.1	224
NP_001157.1	183
NP_001157016.1	347
NP_001157017.1	347
NP_001157018.1	331
NP_001157019.1	298
NP_001157030.1	70
NP_001157032.1	113
NP_001157033.1	97
NP_001157101.1	238
NP_001157108.1	53
NP_001157118.1	135
NP_001157145.1	305
NP_001157149.1	49
NP_001157150.1	105
NP_001157164.1	39
NP_001157196.1	8
NP_001157207.1	387
NP_001157260.1	129
NP_001157262.1	135
NP_001157281.1	499
NP_001157283.1	301
NP_001157289.1	236
NP_001157329.1	102
NP_001157394.1	93
NP_001157397.1	137
NP_001157398.1	137
NP_001157412.1	289
NP_001157413.1	601
NP_001157414.1	76
NP_001157461.1	97
NP_001157462.1	83
NP_001157463.1	121
NP_001157465.1	73
NP_001157565.1	62
NP_001157566.1	62
NP_001157567.1	62
NP_001157569.1	777
NP_001157570.1	536
NP_001157576.1	421
NP_001157577.1	421
NP_001157578.1	92
NP_001157586.1	257
NP_001157587.1	125
NP_001157588.1	282
NP_001157616.1	264
NP_001157617.1	264
NP_001157632.1	215
NP_001157633.1	215
NP_001157634.1	215
NP_001157635.1	215
NP_001157636.1	208
NP_001157650.1	143
NP_001157653.1	119
NP_001157654.1	112
NP_001157655.1	112
NP_001157661.1	221
NP_001157666.1	218
NP_001157683.1	211
NP_001157685.1	187
NP_001157704.1	226
NP_001157710.1	16
NP_001157711.1	293
NP_001157729.1	27
NP_001157738.1	277
NP_001157739.1	202
NP_001157741.1	47
NP_001157742.1	47
NP_001157743.1	459
NP_001157745.1	940
NP_001157748.1	239
NP_001157749.1	153
NP_001157750.1	157
NP_001157751.1	126
NP_001157752.1	153
NP_001157753.1	166
NP_001157755.1	21
NP_001157781.1	206
NP_001157782.1	113
NP_001157785.1	106
NP_001157787.1	303
NP_001157789.1	913
NP_001157790.1	906
NP_001157791.1	902
NP_001157798.1	181
NP_001157814.1	123
NP_001157815.1	118
NP_001157816.1	118
NP_001157817.1	118
NP_001157818.1	118
NP_001157819.1	118
NP_001157828.1	33
NP_001157844.1	91
NP_001157845.1	92
NP_001157847.1	27
NP_001157849.1	38
NP_001157851.1	29
NP_001157852.1	136
NP_001157853.1	134
NP_001157854.1	122
NP_001157855.1	106
NP_001157856.1	125
NP_001157857.1	124
NP_001157858.1	471
NP_001157859.1	426
NP_001157860.1	426
NP_001157861.1	348
NP_001157862.1	219
NP_001157863.1	87
NP_001157865.1	87
NP_001157869.1	6
NP_001157871.1	84
NP_001157876.1	43
NP_001157877.1	5
NP_001157879.1	31
NP_001157882.1	36
NP_001157888.1	53
NP_001157897.1	1
NP_001157906.1	9
NP_001157907.1	13
NP_001157908.1	19
NP_001157912.1	48
NP_001157914.1	24
NP_001157915.1	200
NP_001157916.1	38
NP_001157918.1	129
NP_001157929.1	192
NP_001157930.1	45
NP_001157931.1	45
